student_id,name,gender,birth_year,grade,major_track,admission_type,source_province,source_region_type,high_school_level,gaokao_score,gaokao_rank_band,family_class_score,father_education,mother_education,father_occupation,mother_occupation,precollege_science_interest,precollege_self_learning,precollege_interdisciplinary,precollege_art_strength,science_competition_level,innovation_competition_role,overseas_exposure,tutoring_years,tutoring_intensity,family_burden_feeling,academic_identity,scientist_aspiration,major_understanding,goal_clarity,resilience_level,critical_thinking,learning_passion,self_discipline,interdisciplinary_willingness,motivation_strength,motivation_intrinsic,motivation_external,motivation_mission,mental_health_score,stress_level,curiosity_score,risk_taking_score,impulsiveness_score,interdisciplinary_association,ai_use_frequency,ai_use_learning,ai_use_research,ai_use_coding,ai_use_creative,has_fixed_mentor,mentor_closeness,mentor_inspiration,mentor_guidance_frequency,peer_support_score,peer_academic_interaction,facility_satisfaction,frontier_exposure,international_exposure,policy_flexibility,evaluation_fairness,innovation_climate,personalized_support,workload_feeling,cross_college_exchange,overall_env_satisfaction,research_participation_level,research_project_count,research_project_score,research_entry_path,research_platform_level,research_depth_score,fdurop_participated,fdurop_gain_score,pnp_used,pnp_helpfulness,aplus_received,aplus_incentive_score,integrated_training_identity,dim_academic_interest,dim_resilience,dim_innovation,dim_learning_motivation,dim_research_engagement,dim_mentorship,dim_environment_satisfaction,dim_mental_health,z_dim_academic_interest,pct_dim_academic_interest,z_dim_resilience,pct_dim_resilience,z_dim_innovation,pct_dim_innovation,z_dim_learning_motivation,pct_dim_learning_motivation,z_dim_research_engagement,pct_dim_research_engagement,z_dim_mentorship,pct_dim_mentorship,z_dim_environment_satisfaction,pct_dim_environment_satisfaction,z_dim_mental_health,pct_dim_mental_health,student_type,student_type_confidence,adjacent_type,risk_psychology,risk_no_mentor,risk_low_interest,risk_low_research,risk_external_driven,risk_low_ai_usage,risk_overload,warning_count,warning_level,risk_psychology_severity,risk_no_mentor_severity,risk_low_interest_severity,risk_low_research_severity,risk_external_driven_severity,risk_low_ai_usage_severity,risk_overload_severity,issue_summary,advice_academic,advice_psychology,advice_skill,advice_resource,advice_path,type_features,benchmark_case
20240001,学生-001,男,2004,3,物理,统招,江西,地级市,一般,663,前1%,3,本科,大专,个体经营,工人/服务业,88.78,64.16,63.88,56.91,62.55,69.15,0,6,53.91,53.73,60.93,78.31,89.51,78.87,72.55,33.21,94.51,55.82,50.33,41.3,92.63,30.65,60.71,45.71,88.48,79.98,64.46,59.06,54.96,74.46,45.24,46.8,11.35,49.81,100,67.47,65.34,65.36,87.48,99.04,61.89,71.3,61.69,76.89,56.03,70.23,41.17,74.08,63.51,75.39,100.0,2,50.0,尚未进入,42.56,79.79,0,68.54,0,45.27,100,50.09,66.65,75.75,56.85,63.31,70.83,63.59,71.81,63.54,45.24,1.8914,96.82,-1.0797,13.64,0.0429,52.5,1.3693,90.45,0.6826,71.36,1.0098,84.55,0.8953,81.36,-0.5934,26.36,均衡发展型,76.6,科研驱动型,1,0,0,0,0,0,0,1,green,yellow,none,none,none,none,none,none,心理健康与压力状态需要优先关注,建议保持当前学术节奏，并在已有优势维度上继续深化。,建议近期优先处理压力管理问题，必要时寻求专业心理支持，并重新梳理学习节奏。,建议继续提升学习工具与研究方法的使用效率。,建议持续关注学堂资源、导师机会与跨学科平台。,保持稳定节奏，在优势维度上继续拉高，尝试承担更高挑战任务并形成个人特色。,整体发展稳定，没有明显短板，适合个性化拔高支持。,对标在稳定基础上持续拉高优势维度的综合发展路径。
20240002,学生-002,女,2006,1,化学,统招,河南,省会城市,顶尖,679,前3%,10,高中及以下,本科,企业职员,教师/科研,70.1,47.16,51.07,42.85,33.33,33.44,0,4,45.63,40.04,58.61,63.26,61.47,89.14,83.25,61.69,69.16,56.3,49.73,82.14,52.87,70.83,53.75,62.97,47.6,55.57,58.38,47.0,64.41,59.11,74.36,63.22,37.23,64.11,100,54.76,64.02,40.59,46.13,52.95,87.07,64.91,55.79,64.07,49.67,84.2,53.98,46.78,56.89,76.12,62.98,1,25.0,任课教师,95.31,8.63,0,63.59,0,58.56,0,54.23,66.32,65.93,66.98,57.2,65.68,41.44,61.05,66.12,56.36,0.0347,50.91,0.5885,73.86,-1.0627,15.23,0.4128,65.45,-0.6992,27.27,0.3065,49.09,1.5803,94.55,0.8106,80.45,均衡发展型,55.5,竞赛转型型,0,0,0,1,1,0,0,2,yellow,none,none,none,yellow,yellow,none,none,科研参与深度不足；学习动力偏外部驱动,建议从课程项目、FDUROP 或课题组旁听切入，逐步提升科研参与深度。,当前心理状态整体稳定，建议继续保持规律节奏与支持连接。,建议继续提升学习工具与研究方法的使用效率。,建议持续关注学堂资源、导师机会与跨学科平台。,保持稳定节奏，在优势维度上继续拉高，尝试承担更高挑战任务并形成个人特色。,整体发展稳定，没有明显短板，适合个性化拔高支持。,对标在稳定基础上持续拉高优势维度的综合发展路径。
20240003,学生-003,男,2005,1,生物,强基,云南,地级市,普通重点,672,前5‰,2,本科,大专,教师/科研,企业职员,96.45,59.45,58.92,43.65,29.46,43.2,0,5,37.52,54.37,67.48,54.73,32.17,62.56,78.98,57.16,68.9,65.15,81.13,76.06,51.0,77.88,69.55,87.99,54.81,75.69,73.64,52.32,66.88,56.46,48.3,55.05,26.6,41.96,100,47.67,45.93,53.47,81.42,74.41,66.45,68.23,58.51,63.4,66.12,60.82,23.85,50.2,47.66,62.64,47.55,1,25.0,任课教师,42.29,33.67,0,61.06,100,55.89,0,49.51,68.82,59.22,66.07,68.96,62.76,37.22,57.36,57.64,69.18,-1.2339,11.82,0.4387,65.91,1.0652,84.77,-0.1295,47.27,-0.9624,16.82,0.0653,40.91,-0.6711,26.82,2.4293,99.55,均衡发展型,52.7,竞赛转型型,0,0,1,1,1,0,0,3,yellow,none,none,yellow,yellow,yellow,none,none,学术志趣与目标清晰度偏弱；科研参与深度不足；学习动力偏外部驱动,建议优先通过低风险试错课程、跨学科讲座和导师交流来重新确认兴趣方向。 建议从课程项目、FDUROP 或课题组旁听切入，逐步提升科研参与深度。,当前心理状态整体稳定，建议继续保持规律节奏与支持连接。,建议继续提升学习工具与研究方法的使用效率。,建议持续关注学堂资源、导师机会与跨学科平台。,保持稳定节奏，在优势维度上继续拉高，尝试承担更高挑战任务并形成个人特色。,整体发展稳定，没有明显短板，适合个性化拔高支持。,对标在稳定基础上持续拉高优势维度的综合发展路径。
20240004,学生-004,女,2003,3,生物,强基,香港,省会城市,强省重点,633,前3%,6,本科,博士,工人/服务业,工人/服务业,77.43,61.78,70.01,49.71,37.01,62.03,100,6,50.9,42.05,71.47,46.54,62.06,79.33,77.38,71.63,58.24,53.53,75.03,59.74,56.27,91.92,51.59,59.64,34.88,89.17,71.07,65.99,81.53,62.53,64.46,44.74,20.27,57.25,100,71.37,55.14,69.03,67.95,61.36,59.65,68.95,59.28,57.06,78.76,53.25,73.86,55.44,62.89,56.79,58.13,4,100.0,竞赛延伸,86.95,71.82,100,74.69,0,43.98,100,56.08,72.06,64.97,66.49,77.3,56.74,78.59,71.5,62.1,61.09,-0.1468,44.55,0.5078,69.77,2.5743,99.55,-1.2476,10.91,1.6183,93.64,0.9895,84.09,0.513,67.95,1.4079,92.27,均衡发展型,82.3,科研驱动型,0,0,0,0,0,0,0,0,green,none,none,none,none,none,none,none,当前整体状态稳定，可继续保持。,建议保持当前学术节奏，并在已有优势维度上继续深化。,当前心理状态整体稳定，建议继续保持规律节奏与支持连接。,建议继续提升学习工具与研究方法的使用效率。,建议持续关注学堂资源、导师机会与跨学科平台。,保持稳定节奏，在优势维度上继续拉高，尝试承担更高挑战任务并形成个人特色。,整体发展稳定，没有明显短板，适合个性化拔高支持。,对标在稳定基础上持续拉高优势维度的综合发展路径。
20240005,学生-005,男,2006,1,计算机,竞赛,吉林,地级市,强省重点,659,前1‰,6,高中及以下,高中及以下,公务员/事业单位,个体经营,56.97,83.95,62.18,52.89,90.46,53.51,0,5,31.63,35.16,80.58,72.92,62.42,66.61,66.01,64.58,69.95,56.82,69.93,54.41,38.09,47.1,74.24,36.06,91.16,74.86,75.38,46.03,71.57,66.01,51.72,46.17,62.54,47.79,0,43.23,48.52,25.51,74.74,68.25,64.62,46.02,44.1,57.41,72.62,62.84,56.84,78.18,56.02,54.61,28.61,1,25.0,任课教师,57.39,41.83,100,32.52,100,41.46,0,55.09,45.32,70.92,58.32,68.6,57.94,42.25,39.67,57.61,35.44,0.9782,83.64,-0.8376,21.36,1.0001,82.73,-1.0247,15.0,-0.6486,29.09,-1.091,23.18,-0.6791,26.14,-1.8307,3.64,竞赛转型型,72.4,均衡发展型,1,0,0,1,0,0,0,2,red,red,none,none,yellow,none,none,none,心理健康与压力状态需要优先关注；科研参与深度不足,建议从课程项目、FDUROP 或课题组旁听切入，逐步提升科研参与深度。,建议近期优先处理压力管理问题，必要时寻求专业心理支持，并重新梳理学习节奏。,建议把竞赛式能力迁移到研究问题定义、过程记录和阶段复盘中。,建议持续关注学堂资源、导师机会与跨学科平台。,从解题导向转向问题导向，尽快进入真实研究场景，建立过程记录与学术表达习惯。,前期能力基础较强，正在从竞赛型学习向研究型学习转变。,对标从竞赛优势迁移到研究表达和问题定义的转型案例。
20240006,学生-006,男,2005,2,物理,统招,浙江,地级市,普通重点,686,前5‰,6,高中及以下,高中及以下,教师/科研,公务员/事业单位,83.44,87.03,77.97,66.62,73.95,66.89,0,6,53.37,43.15,63.33,67.62,62.23,59.93,45.49,69.25,56.88,80.78,49.47,68.83,60.07,30.0,85.06,41.39,87.63,75.85,53.22,51.74,80.92,47.08,56.13,58.22,26.18,37.16,100,65.61,38.73,49.88,78.5,71.31,64.37,81.55,40.29,67.64,53.9,60.76,37.5,63.98,63.54,65.37,63.14,0,0.0,任课教师,49.15,12.3,0,44.18,100,50.93,0,64.42,66.87,61.22,57.47,63.77,67.36,30.62,60.42,59.85,43.52,-0.8558,20.91,-0.9776,15.91,0.1261,54.55,0.7248,77.73,-1.3741,7.73,0.2653,47.27,-0.0844,46.36,-0.8105,22.27,竞赛转型型,45.5,压力应对型,1,0,1,1,0,0,1,4,yellow,yellow,none,yellow,yellow,none,none,yellow,心理健康与压力状态需要优先关注；学术志趣与目标清晰度偏弱；科研参与深度不足；学业负担感偏高,建议优先通过低风险试错课程、跨学科讲座和导师交流来重新确认兴趣方向。 建议从课程项目、FDUROP 或课题组旁听切入，逐步提升科研参与深度。,建议近期优先处理压力管理问题，必要时寻求专业心理支持，并重新梳理学习节奏。,建议把竞赛式能力迁移到研究问题定义、过程记录和阶段复盘中。,建议持续关注学堂资源、导师机会与跨学科平台。,从解题导向转向问题导向，尽快进入真实研究场景，建立过程记录与学术表达习惯。,前期能力基础较强，正在从竞赛型学习向研究型学习转变。,对标从竞赛优势迁移到研究表达和问题定义的转型案例。
20240007,学生-007,男,2005,2,计算机,强基,河南,县城,一般,663,前1‰,7,硕士,大专,公务员/事业单位,企业职员,79.79,54.97,68.73,40.37,63.08,58.4,0,5,67.78,50.22,69.25,61.4,72.92,64.3,70.15,56.32,73.17,67.57,58.97,91.02,61.43,65.41,77.55,24.86,79.96,82.5,68.25,39.44,55.05,70.45,58.04,57.2,49.06,20.28,100,52.4,57.01,55.9,67.26,38.52,74.49,71.88,50.58,68.99,69.71,63.12,52.07,82.73,56.61,58.16,51.74,0,0.0,FDUROP,47.71,73.1,0,43.38,100,27.94,100,49.25,76.4,66.89,61.9,61.5,71.96,41.92,61.61,61.42,32.17,0.2162,59.32,-0.248,39.09,-0.2846,39.09,1.5792,95.0,-0.6692,28.18,0.3431,50.91,0.3325,60.91,-2.2436,1.36,压力应对型,76.9,均衡发展型,1,0,0,0,0,0,1,2,red,red,none,none,none,none,none,yellow,心理健康与压力状态需要优先关注；学业负担感偏高,建议保持当前学术节奏，并在已有优势维度上继续深化。,建议近期优先处理压力管理问题，必要时寻求专业心理支持，并重新梳理学习节奏。,建议继续提升学习工具与研究方法的使用效率。,建议持续关注学堂资源、导师机会与跨学科平台。,先减压与稳节奏，调整课程负担并使用制度工具降低焦虑，再逐步恢复长期学术目标。,仍在努力应对学业挑战，但心理空间明显受压。,对标先稳节奏再恢复长期目标的减压转型路径。
20240008,学生-008,男,2005,4,计算机,综评,内蒙古,地级市,顶尖,680,前1%,7,硕士,硕士,个体经营,企业职员,60.04,79.84,71.77,44.8,35.09,44.67,0,5,49.54,36.66,66.05,58.42,86.36,69.01,63.77,72.12,68.85,67.67,82.08,77.35,50.52,45.7,77.18,33.1,100.0,68.24,63.54,57.29,82.8,68.31,67.09,46.62,53.8,68.85,0,60.92,69.96,64.88,99.96,70.73,71.0,73.26,63.81,61.37,44.51,76.98,61.95,68.4,53.69,71.3,82.55,4,100.0,FDUROP,86.3,65.85,100,43.66,0,51.83,0,71.15,46.29,70.65,60.88,71.12,67.31,78.64,56.85,64.12,39.63,0.9271,82.27,-0.416,33.64,1.456,93.64,0.7155,77.27,1.6214,94.09,0.0319,38.64,1.0493,86.36,-1.3017,10.45,压力应对型,87.8,均衡发展型,1,1,0,0,0,0,0,2,red,red,red,none,none,none,none,none,心理健康与压力状态需要优先关注；尚未建立稳定导师支持关系,建议保持当前学术节奏，并在已有优势维度上继续深化。,建议近期优先处理压力管理问题，必要时寻求专业心理支持，并重新梳理学习节奏。,建议继续提升学习工具与研究方法的使用效率。,建议优先连接导师资源，并通过课程项目、FDUROP 和学术活动建立稳定指导关系。,先减压与稳节奏，调整课程负担并使用制度工具降低焦虑，再逐步恢复长期学术目标。,仍在努力应对学业挑战，但心理空间明显受压。,对标先稳节奏再恢复长期目标的减压转型路径。
20240009,学生-009,女,2006,2,生物,综评,山东,地级市,顶尖,667,前5‰,7,高中及以下,硕士,企业职员,企业职员,90.61,76.16,50.06,47.36,82.05,60.24,0,5,58.18,36.22,59.19,58.53,56.27,61.29,76.02,63.04,80.41,79.0,82.95,76.87,60.49,74.3,63.76,32.47,93.88,64.5,66.2,41.41,68.61,69.17,56.91,68.6,24.16,25.82,100,63.59,70.66,39.22,75.56,64.64,72.42,47.13,66.52,48.68,48.71,90.34,73.18,94.11,46.74,65.66,28.51,1,25.0,任课教师,64.6,45.85,100,49.47,0,43.46,100,38.8,60.14,63.83,67.5,62.55,65.49,46.92,69.0,61.07,33.77,-0.3623,34.55,0.6742,77.27,-0.0947,46.82,0.3775,63.18,-0.3573,40.91,0.8261,76.36,0.2396,58.18,-2.0416,3.18,压力应对型,87.0,均衡发展型,1,0,0,1,0,0,1,3,red,red,none,none,yellow,none,none,red,心理健康与压力状态需要优先关注；科研参与深度不足；学业负担感偏高,建议从课程项目、FDUROP 或课题组旁听切入，逐步提升科研参与深度。,建议近期优先处理压力管理问题，必要时寻求专业心理支持，并重新梳理学习节奏。,建议继续提升学习工具与研究方法的使用效率。,建议结合当前课程负担，评估 P/NP 制度的合理使用空间，为探索和恢复留出余量。,先减压与稳节奏，调整课程负担并使用制度工具降低焦虑，再逐步恢复长期学术目标。,仍在努力应对学业挑战，但心理空间明显受压。,对标先稳节奏再恢复长期目标的减压转型路径。
20240010,学生-010,女,2005,3,化学,强基,河北,省会城市,普通重点,673,前5‰,7,高中及以下,本科,企业职员,公务员/事业单位,84.04,60.27,57.85,51.28,72.81,55.91,0,3,67.61,39.58,70.81,51.38,75.03,53.07,46.67,70.84,64.62,64.4,59.63,67.98,67.45,30.11,65.27,54.17,100.0,71.2,69.93,49.36,61.31,61.07,60.23,57.69,5.47,63.18,0,43.39,32.72,60.45,71.55,68.64,63.08,66.87,37.4,79.15,36.2,69.09,57.21,62.28,40.55,62.47,56.84,3,75.0,尚未进入,21.19,88.52,100,57.66,0,63.48,100,64.31,53.9,62.63,54.09,64.56,64.93,66.41,41.69,58.86,43.26,-0.5892,26.82,-1.5342,6.82,0.269,59.32,0.2735,60.91,0.8585,76.82,-0.959,26.82,-0.3472,39.55,-0.8434,21.82,竞赛转型型,45.1,压力应对型,1,1,0,0,0,0,0,2,yellow,yellow,red,none,none,none,none,none,心理健康与压力状态需要优先关注；尚未建立稳定导师支持关系,建议保持当前学术节奏，并在已有优势维度上继续深化。,建议近期优先处理压力管理问题，必要时寻求专业心理支持，并重新梳理学习节奏。,建议把竞赛式能力迁移到研究问题定义、过程记录和阶段复盘中。,建议优先连接导师资源，并通过课程项目、FDUROP 和学术活动建立稳定指导关系。,从解题导向转向问题导向，尽快进入真实研究场景，建立过程记录与学术表达习惯。,前期能力基础较强，正在从竞赛型学习向研究型学习转变。,对标从竞赛优势迁移到研究表达和问题定义的转型案例。
